"table_catalog";"table_schema";"table_name";"table_type";"self_referencing_column_name";"reference_generation";"user_defined_type_catalog";"user_defined_type_schema";"user_defined_type_name";"is_insertable_into";"is_typed";"commit_action"
"coagiswarehouse";"coagis";"coa_rddrc_wilma_dykeman_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_maximo_work_order_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_overlay_blue_ridge_parkway_viewshed_property_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"mapasheville_snow_priority_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_overlay_blue_ridge_parkway_viewshed_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_overlay_conditional_use_property_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_overlay_conditional_use_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"accella_foresri_parcel_attr_cache_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_overlay_historic_districts_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_overlay_manufactured_housing_community_property_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_dup_address_by_locationtype_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"accela_pinnumber_civicaddress_id_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_dup_parcel_point_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_unique_postdirection_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_unique_streetname_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_unique_streetname_with_id_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_address_unique_streetname_zipcode_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_adopta_street_information_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"bc_street_duplicate_centerlineid_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_region_under_consideration_current_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_street_furniture_pedestrian_signs_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_overlay_manufactured_housing_community_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_overlay_manufactured_housing_property_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_overlay_manufactured_housing_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_address_azimuthal_from_street_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_address_munis_services_rollcarts_table_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_overlay_planned_use_developments_property_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_street_furniture_street_can_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_overlay_planned_use_developments_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_overlay_transitional_use_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_pedplan_zoning_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_public_works_building_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_rddrc_design_review_parcels_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_rddrc_wilma_dykeman_parcels_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_route_bulk_pickups_end_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_street_furniture_outdoor_dining_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_street_furniture_wayfinding_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_sidewalkonly_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_spacing_four_lot_subdivisions_radius_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_street_furniture_artnmonuments_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_street_furniture_benches_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_street_furniture_bike_racks_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_street_furniture_bollard_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_street_furniture_cigarette_bin_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_street_furniture_electrical_box_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_taxvalue_analysis_table_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_taxvalue_analysis_vacindcom_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_taxvalue_analysis_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_taxvalue_analysis_zonning_ind_view";"VIEW";"";"";"";"";"";"NO";"NO";""
"coagiswarehouse";"coagis";"coa_taxvalue_analysis_zonning_river_view";"VIEW";"";"";"";"";"";"NO";"NO";""
